
Enter the Max number of generations: 
Enter the crossover probability (0.0 - 1.0): 
Enter the mutation probability (0.0 - 1.0): 
------------------------------------------------------------------------------------------
#	x1	x2	x3	x4	F(x1,x2,x3,x4)	Fitness	Parents
------------------------------------------------------------------------------------------
01	-3.3735	+43.9891	+43.0078	-14.5817	+2871099899286962714823795603246581828589947166130176.000000	0.250912	(-1,-1)
48	+10.7576	+34.0661	-5.8491	-38.1088	+919232586791611885435008829876872723562496.000000	0.999998	(-1,-1)
49	+46.0647	-23.9291	+34.1480	-32.9247	+6418977211870498586195949719663880866216542208.000000	0.999998	(-1,-1)
50	+48.2505	-4.1131	+9.0410	-29.1599	+15339507367050367649486556010140965630115840.000000	0.999998	(-1,-1)

------------------------------------------------------------------------------------------
#	x1	x2	x3	x4	F(x1,x2,x3,x4)	Fitness	Parents
------------------------------------------------------------------------------------------
01	-27.4104	+30.4651	+13.3805	+1.0383	+1174405403314574397264187756758960143597568.000000	0.000000	(42,8)
02	+24.6779	-11.3280	-44.8718	+0.1716	-94248229620297054288371655372548202768013197312.000000	0.042211	(42,8)
03	+42.1732	-48.6050	-35.2575	+0.7006	-4417991194544799035009263941085318934808693309440.000000	1.000000	(0,0)
04	-41.3098	-18.0836	+39.1354	+35.4150	+5367571737131416779498585315082240.000000	0.000001	(0,0)
05	-12.3757	-4.1038	+14.8019	+9.4378	+38598331582195002796078538948608.000000	0.000001	(0,0)
06	-49.5403	+28.0407	-45.4127	+2.8028	-573962729570307998592758889037988468787372883968.000000	0.242952	(0,0)
07	+1.1336	-38.0013	-17.8548	+7.9404	-238821563348047076959906655103200543968048709632.000000	0.105192	(40,8)
08	+24.6779	-11.3280	+4.9030	+14.4861	+361945470201218149144600873271296.000000	0.000001	(40,8)
09	-16.2084	+33.1582	-26.2199	+28.3676	-41488601901608706439668463422144512.000000	0.000001	(10,1)
10	+25.4917	-14.5413	-17.5771	-42.6570	-2845555259782597746578135024509369974784.000000	0.000001	(10,1)
11	-49.5403	+28.0407	-12.7875	+6.3978	-67201872497372866698999730183656701952.000000	0.000001	(27,29)
12	-12.3757	-4.1038	-17.8233	+5.8429	-9117569948425045845906585669444402589728768.000000	0.000005	(27,29)
13	+1.1336	-38.0013	+30.5430	+22.1601	+1800025455612195201114701824.000000	0.000001	(40,7)
14	-26.9165	+30.6888	-2.9588	+19.8067	+399329809866076599737402794180608.000000	0.000001	(40,7)
15	-3.7772	-6.4124	+6.1995	+45.9616	-0.883136	0.000001	(0,0)
16	-3.7772	-6.4124	+6.1995	+45.9616	-0.883136	0.000001	(0,0)
17	-41.3098	-18.0836	+39.1354	+35.4150	+5367571737131416779498585315082240.000000	0.000001	(0,0)
18	-5.4240	+44.9516	-30.9339	+12.1680	-162679987091176512.000000	0.000001	(0,0)
19	-29.0449	+0.1076	-30.4021	-26.7881	-111968287096793783588348637929808018807854202880.000000	0.050046	(34,11)
20	+28.1098	-6.8515	-10.3360	+14.5810	-40790240681521231131836416.000000	0.000001	(34,11)
21	+24.6779	-11.3280	-44.8718	+0.1696	-94248229620297054288371655372548202768013197312.000000	0.042211	(0,0)
22	+39.9406	+30.4274	-32.8830	-6.1473	+6280092804991084303519571771392.000000	0.000001	(0,0)
23	-49.5403	+28.0407	-45.4127	+12.3087	-573962729570307998592758889037988468787372883968.000000	0.242952	(27,43)
24	-46.2214	-12.4019	+7.2774	+10.5922	-214281094271939130829009772430715707719680.000000	0.000001	(27,43)
25	-35.5420	+13.8266	+27.5971	+8.6071	+449551582569699781063916946127442321342464.000000	0.000000	(12,41)
26	-28.9894	+22.1796	+15.9971	-3.5658	+34020732830670848974434983774530738061312.000000	0.000001	(12,41)
27	-49.5403	+28.0407	-45.4127	+2.8028	-573962729570307998592758889037988468787372883968.000000	0.242952	(27,23)
28	+26.7248	+10.2568	-37.7404	-20.6725	-21681152934982799625669954618527104106496.000000	0.000001	(27,23)
29	-3.7772	-6.4124	+6.1995	+45.9616	-0.883136	0.000001	(0,0)
30	+10.8852	+38.5165	-32.1096	+25.3432	-0.199655	0.000001	(0,0)
31	+16.3195	+16.3114	-6.7080	+23.9051	+3295500686651866515865929737121562624.000000	0.000001	(36,32)
32	-3.6138	-19.9218	-20.8855	-38.3395	-5990052685249676102939334293360452055032922112.000000	0.002710	(36,32)
33	+42.1732	-48.6050	-35.2575	+0.7006	-4417991194544799035009263941085318934808693309440.000000	1.000000	(-1,-1)
34	-12.3757	-4.1038	+14.8019	+9.4378	+38598331582195002796078538948608.000000	0.000001	(0,0)
35	+16.3195	-24.4137	-22.6431	-46.0562	-851996680840684360397604012389261608994471936.000000	0.000386	(0,0)
36	+42.1732	-48.6050	-35.2575	+0.7006	-4417991194544799035009263941085318934808693309440.000000	1.000000	(0,0)
37	+25.4917	-14.5413	-17.6935	-41.8169	-3238551243345736850926817260013822672896.000000	0.000001	(1,2)
38	+42.1732	-48.6050	-35.2575	+0.7006	-4417991194544799035009263941085318934808693309440.000000	1.000000	(-1,-1)
39	+38.2683	+21.6118	-26.7090	-34.5228	+352341409819288179628302139392.000000	0.000001	(0,0)
40	+16.3195	-24.4137	-22.6431	-46.0562	-851996680840684360397604012389261608994471936.000000	0.000386	(0,0)
